id,name,website,industry,notes,created_at,updated_at
company_360dialog,360Dialog,,,,2026-05-29T20:07:48.152007+00:00,2026-06-12T05:19:47.220970+00:00
company_alana_ai,Alana AI,,,,2026-05-29T20:07:48.158081+00:00,2026-06-12T05:19:47.225144+00:00
company_alandar,Alandar,,,,2026-05-29T20:07:48.159082+00:00,2026-06-12T05:19:47.225904+00:00
company_alignerr,Alignerr,,,,2026-05-29T20:07:48.159889+00:00,2026-06-12T05:19:47.230975+00:00
company_arco_educação,Arco Educação,,,,2026-05-29T20:07:48.164918+00:00,2026-06-12T05:19:47.231680+00:00
company_associação_nova_escola,Associação Nova Escola,,,,2026-05-29T20:07:48.166540+00:00,2026-06-12T05:19:47.233136+00:00
company_atlas_technologies,Atlas Technologies,,,,2026-05-29T20:07:48.167860+00:00,2026-06-12T05:19:47.233917+00:00
company_bairesdev,BairesDev,,,,2026-05-29T20:07:48.168706+00:00,2026-06-12T05:19:47.236151+00:00
company_bernoulli_educação,Bernoulli Educação,,,,2026-05-29T20:07:48.169525+00:00,2026-06-12T05:19:47.236823+00:00
company_cactus_communications,Cactus Communications,,,,2026-05-29T20:07:48.170377+00:00,2026-06-12T05:19:47.238530+00:00
company_caju,Caju,,,,2026-05-29T20:07:48.171056+00:00,2026-06-12T05:19:47.239177+00:00
company_capco,Capco,,,,2026-05-29T20:07:48.171774+00:00,2026-06-12T05:19:47.240580+00:00
company_clara,Clara,,,,2026-05-29T20:07:48.173060+00:00,2026-06-12T05:19:47.241345+00:00
company_convenia,Convenia,,,,2026-05-29T20:07:48.173917+00:00,2026-06-12T05:19:47.243365+00:00
company_crossing_hurdles,Crossing Hurdles,,,,2026-05-29T20:07:48.174647+00:00,2026-06-12T05:19:47.244328+00:00
company_crossover,Crossover,,,,2026-05-29T20:07:48.175290+00:00,2026-06-12T05:19:47.246248+00:00
company_dot_digital_group,DOT Digital Group,,,,2026-05-29T20:07:48.176645+00:00,2026-06-12T05:19:47.247336+00:00
company_doerly_works,Doerly Works,,,,2026-05-29T20:07:48.177267+00:00,2026-06-12T05:19:47.249902+00:00
company_empresa_confidencial,Empresa Confidencial,,,,2026-05-29T20:07:48.178707+00:00,2026-06-12T05:19:47.252427+00:00
company_endeavor,Endeavor,,,,2026-05-29T20:07:48.179858+00:00,2026-06-12T05:19:47.253085+00:00
company_fifa_women's_world_cup™️,FIFA Women's World Cup™️,,,,2026-05-29T20:07:48.180659+00:00,2026-06-12T05:19:47.254482+00:00
company_foundever,Foundever,,,,2026-05-29T20:07:48.181654+00:00,2026-06-12T05:19:47.256149+00:00
company_fugro,Fugro,,,,2026-05-29T20:07:48.182367+00:00,2026-06-12T05:19:47.256825+00:00
company_fundação_lemann,Fundação Lemann,,,,2026-05-29T20:07:48.183133+00:00,2026-06-12T05:19:47.257485+00:00
company_gendergp,GenderGP,,,,2026-05-29T20:07:48.183823+00:00,2026-06-12T05:19:47.259625+00:00
company_grupo_boticário,Grupo Boticário,,,,2026-05-29T20:07:48.184460+00:00,2026-06-12T05:19:47.261920+00:00
company_indi_staffing_services,INDI Staffing Services,,,,2026-05-29T20:07:48.185106+00:00,2026-06-12T05:19:47.264112+00:00
company_inside_higher_ed,Inside Higher Ed,,,,2026-05-29T20:07:48.185923+00:00,2026-06-12T05:19:47.264751+00:00
company_joblet_ai,Joblet-AI,,,,2026-05-29T20:07:48.186581+00:00,2026-06-12T05:19:47.266796+00:00
company_kodland,Kodland,,,,2026-05-29T20:07:48.187260+00:00,2026-06-12T05:19:47.268283+00:00
company_latamcent,LatamCent,,,,2026-05-29T20:07:48.187895+00:00,2026-06-12T05:19:47.268933+00:00
company_logrock,Logrock,,,,2026-05-29T20:07:48.188515+00:00,2026-06-12T05:19:47.269592+00:00
company_maismei,MaisMei,,,,2026-05-29T20:07:48.189117+00:00,2026-06-12T05:19:47.270277+00:00
company_match_executive,Match Executive,,,,2026-05-29T20:07:48.189777+00:00,2026-06-12T05:19:47.271325+00:00
company_médecins_sans_frontières_(msf),Médecins Sans Frontières (MSF),,,,2026-05-29T20:07:48.190435+00:00,2026-06-12T05:19:47.273869+00:00
company_ntu_international_a/s,NTU International A/S,,,,2026-05-29T20:07:48.191676+00:00,2026-06-12T05:19:47.274572+00:00
company_oliver_latin_america,OLIVER Latin America,,,,2026-05-29T20:07:48.192445+00:00,2026-06-12T05:19:47.275273+00:00
company_sme_careers,SME Careers,,,,2026-05-29T20:07:48.193266+00:00,2026-06-12T05:19:47.281047+00:00
company_superfrete,SuperFrete,,,,2026-05-29T20:07:48.194039+00:00,2026-06-12T05:19:47.283596+00:00
company_tp,TP,,,,2026-05-29T20:07:48.194965+00:00,2026-06-12T05:19:47.284264+00:00
company_tapestry,Tapestry,,,,2026-05-29T20:07:48.195586+00:00,2026-06-12T05:19:47.284932+00:00
company_the_nature_conservancy_(tnc),The Nature Conservancy (TNC),,,,2026-05-29T20:07:48.196252+00:00,2026-06-12T05:19:47.285816+00:00
company_transforma_gerenciamento_de_resíduos,Transforma Gerenciamento de Resíduos,,,,2026-05-29T20:07:48.197092+00:00,2026-06-12T05:19:47.286530+00:00
company_turnkey_tech_staffing,TurnKey Tech Staffing,,,,2026-05-29T20:07:48.198011+00:00,2026-06-12T05:19:47.287241+00:00
company_unops,UNOPS,,,,2026-05-29T20:07:48.198811+00:00,2026-06-12T05:19:47.289382+00:00
company_unknown_company,Unknown Company,,,,2026-05-29T20:07:48.199482+00:00,2026-06-12T05:19:47.291690+00:00
company_vertigo,Vertigo,,,,2026-05-29T20:07:48.219791+00:00,2026-06-12T05:19:47.292376+00:00
company_virtual_internships,Virtual Internships,,,,2026-05-29T20:07:48.220652+00:00,2026-06-12T05:19:47.293207+00:00
company_vitru_educação,Vitru Educação,,,,2026-05-29T20:07:48.221524+00:00,2026-06-12T05:19:47.295941+00:00
company_viva_talent,Viva Talent,,,,2026-05-29T20:07:48.222377+00:00,2026-06-12T05:19:47.297352+00:00
company_undp_careers,UNDP Careers,,,,2026-05-29T20:20:28.276411+00:00,2026-06-12T05:19:47.288637+00:00
company_cidadao_pro_mundo,Cidadão Pró-Mundo,https://cidadaopromundo.org/,Educação / Terceiro Setor,"OSCIP — Melhor ONG de Educação do Brasil (2020). Ensino gratuito de inglês para jovens de escolas públicas. 2.300+ alunos, 1.400+ voluntários, 12 unidades. Parceira da Cambridge University Press. Fundada em 1997 no Capão Redondo (SP).",2026-06-08 17:12:04,2026-06-08 17:12:04
company_acme_corp,Acme Corp,https://acme.com,Enterprise SaaS,,2026-06-08T17:49:16.149876+00:00,2026-06-09T08:05:25.680388+00:00
company_atua_agro,Atua Agro,,,,2026-06-09T09:05:49.480322+00:00,2026-06-12T05:19:47.234594+00:00
company_b_lab_global,B Lab Global,,,,2026-06-09T09:05:49.481528+00:00,2026-06-12T05:19:47.235319+00:00
company_brazil_tang,Brazil Tang,,,,2026-06-09T09:05:49.483749+00:00,2026-06-12T05:19:47.237688+00:00
company_espd___escola_superior_de_pesquisa_e_desenvolvimento,ESPD - Escola Superior de Pesquisa e Desenvolvimento,,,,2026-06-09T09:05:49.495673+00:00,2026-06-12T05:19:47.250955+00:00
company_educação,Educação,,,,2026-06-09T09:05:49.496493+00:00,2026-06-12T05:19:47.251754+00:00
company_ensina_brasil,Ensina Brasil,,,,2026-06-09T09:05:49.498878+00:00,2026-06-12T05:19:47.253810+00:00
company_fluke_corporation,Fluke Corporation,,,,2026-06-09T09:05:49.500713+00:00,2026-06-12T05:19:47.255438+00:00
company_fundação_lia_maria_aguiar,Fundação Lia Maria Aguiar,,,,2026-06-09T09:05:49.503671+00:00,2026-06-12T05:19:47.258427+00:00
company_grupo_carrefour_brasil,Grupo Carrefour Brasil,,,,2026-06-09T09:05:49.508291+00:00,2026-06-12T05:19:47.262647+00:00
company_instituto_aromeia_zero,Instituto Aromeia Zero,,,,2026-06-09T09:05:49.511565+00:00,2026-06-12T05:19:47.265445+00:00
company_instituto_ayrton_senna,Instituto Ayrton Senna,,,,2026-06-09T09:05:49.512373+00:00,2026-06-12T05:19:47.266129+00:00
"company_meridial_marketplace,_by_invisible","Meridial Marketplace, by Invisible",,,,2026-06-09T09:05:49.519187+00:00,2026-06-12T05:19:47.272016+00:00
company_motriz,Motriz,,,,2026-06-09T09:05:49.520215+00:00,2026-06-12T05:19:47.272886+00:00
company_oi,Oi,,,,2026-06-09T09:05:49.523137+00:00,2026-06-12T05:19:47.276024+00:00
company_pizza_hut,Pizza Hut,,,,2026-06-09T09:05:49.524621+00:00,2026-06-12T05:19:47.277455+00:00
company_senac_rj,SENAC RJ,,,,2026-06-09T09:05:49.528787+00:00,2026-06-12T05:19:47.280386+00:00
company_vital_strategies,Vital Strategies,,,,2026-06-09T09:05:49.543079+00:00,2026-06-12T05:19:47.294613+00:00
