id,habit_id,completed_at,notes,confidence_level
hl-plan-next-day-2026-06-01-e019,h-plan-next-day,2026-06-01T19:02:33.577213+00:00,,1.0
hl-job-applications-2026-06-01-d96c,h-job-applications,2026-06-01T19:02:33.579354+00:00,,1.0
hl-journal-2026-06-01-30b2,h-journal,2026-06-01T19:02:33.579608+00:00,,1.0
hl-reading-2026-06-01-59fd,h-reading,2026-06-01T19:02:33.579839+00:00,,1.0
hl-plan-next-day-2026-06-02-7d1c,h-plan-next-day,2026-06-02T17:01:52.054865+00:00,,1.0
hl-job-applications-2026-06-02-17bb,h-job-applications,2026-06-02T17:01:52.059039+00:00,,1.0
hl-journal-2026-06-02-96a4,h-journal,2026-06-02T17:01:52.059609+00:00,,1.0
hl-reading-2026-06-02-84e2,h-reading,2026-06-02T17:01:52.060040+00:00,,1.0
hl-plan-next-day-2026-06-02-ec07,h-plan-next-day,2026-06-02T18:06:02.044833+00:00,,1.0
hl-job-applications-2026-06-02-de99,h-job-applications,2026-06-02T18:06:02.046166+00:00,,1.0
hl-journal-2026-06-02-be88,h-journal,2026-06-02T18:06:02.046455+00:00,,1.0
hl-reading-2026-06-02-23d7,h-reading,2026-06-02T18:06:02.046720+00:00,,1.0
