id,obs_type,observed_at,data,source,created_at
obs-context-accessed-2026-05-30-5dac,context_accessed,2026-05-21T20:26:40.887603+00:00,"{""type"": ""context_accessed"", ""timestamp"": ""2026-05-21T17:26:40.887568"", ""context_type"": ""test_observation""}",behavior_observer,2026-05-21 20:26:40
obs-context-accessed-2026-05-30-74fa,context_accessed,2026-05-21T20:28:21.410430+00:00,"{""type"": ""context_accessed"", ""timestamp"": ""2026-05-21T17:28:21.410395"", ""context_type"": ""verification_test""}",behavior_observer,2026-05-21 20:28:21
obs-cli-command-2026-05-30-4410,cli_command,2026-05-22T21:00:04.155418+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-22T18:00:04.155313"", ""command"": ""weekly_review"", ""arg_count"": 0}",behavior_observer,2026-05-22 21:00:04
obs-cli-command-2026-05-30-9a06,cli_command,2026-05-25T11:00:13.575434+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-25T08:00:13.573831"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-05-25 11:00:13
obs-cli-command-2026-05-30-a5d7,cli_command,2026-05-26T21:04:25.285041+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-26T18:04:25.284955"", ""command"": ""daily_digest"", ""arg_count"": 0}",behavior_observer,2026-05-26 21:04:25
obs-cli-command-2026-05-30-0b0c,cli_command,2026-05-26T21:04:25.431585+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-26T18:04:25.425673"", ""command"": ""get_context"", ""arg_count"": 0}",behavior_observer,2026-05-26 21:04:25
obs-context-accessed-2026-05-30-4dcb,context_accessed,2026-05-26T21:04:25.438660+00:00,"{""type"": ""context_accessed"", ""timestamp"": ""2026-05-26T18:04:25.438531"", ""context_type"": ""user_context""}",behavior_observer,2026-05-26 21:04:25
obs-task-created-2026-05-30-0042,task_created,2026-05-26T21:04:39.192317+00:00,"{""type"": ""task_created"", ""timestamp"": ""2026-05-26T18:04:39.192235"", ""task_id"": ""task_43056cc2"", ""category"": ""testing"", ""title"": ""Test monitoring task"", ""priority"": ""normal""}",behavior_observer,2026-05-26 21:04:39
obs-cli-command-2026-05-30-6799,cli_command,2026-05-26T21:04:39.194708+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-26T18:04:39.194657"", ""command"": ""create_task"", ""arg_count"": 0}",behavior_observer,2026-05-26 21:04:39
obs-cli-command-2026-05-30-76a7,cli_command,2026-05-27T11:00:24.184518+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-27T08:00:24.184381"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-05-27 11:00:24
obs-cli-command-2026-05-30-499f,cli_command,2026-05-28T11:00:06.368132+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-28T08:00:06.366180"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-05-28 11:00:06
obs-cli-command-2026-05-30-2e6b,cli_command,2026-05-29T11:00:29.505283+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-29T08:00:29.504277"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-05-29 11:00:29
obs-cli-command-2026-05-30-a4fb,cli_command,2026-05-29T21:00:12.329445+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-29T18:00:12.327168"", ""command"": ""weekly_review"", ""arg_count"": 0}",behavior_observer,2026-05-29 21:00:12
92d5fbc9b4194fa3a78d3e37f826503e,cli_command,2026-05-30T11:00:07.619396+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-30T08:00:07.616550"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-05-30 11:00:07
obs-cli-command-2026-05-31-b143,cli_command,2026-05-31T11:00:28.948491+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-05-31T08:00:28.946726"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-05-31 11:00:28
obs-cli-command-2026-06-01-3066,cli_command,2026-06-01T11:00:24.294417+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-01T08:00:24.293633"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-01 11:00:24
obs-cli-command-2026-06-02-12fc,cli_command,2026-06-02T11:00:14.681014+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-02T08:00:14.678789"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-02 11:00:14
obs-cli-command-2026-06-04-d494,cli_command,2026-06-04T11:00:07.072752+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-04T08:00:07.072517"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-04 11:00:07
obs-anomaly-detected-2026-06-04-8f26,anomaly_detected,2026-06-04T11:00:07.075463+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-04T08:00:07.075346"", ""anomaly_type"": ""agent_insight-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-04 11:00:07
obs-cli-command-2026-06-05-c61f,cli_command,2026-06-05T21:00:14.565904+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-05T18:00:14.565721"", ""command"": ""weekly_review"", ""arg_count"": 0}",behavior_observer,2026-06-05 21:00:14
obs-anomaly-detected-2026-06-05-b149,anomaly_detected,2026-06-05T21:00:14.568972+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-05T18:00:14.568899"", ""anomaly_type"": ""agent_report-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-05 21:00:14
obs-cli-command-2026-06-06-5243,cli_command,2026-06-06T11:00:25.793911+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-06T08:00:25.793732"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-06 11:00:25
obs-anomaly-detected-2026-06-06-fc4e,anomaly_detected,2026-06-06T11:00:25.797043+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-06T08:00:25.796968"", ""anomaly_type"": ""agent_insight-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-06 11:00:25
obs-cli-command-2026-06-08-2c68,cli_command,2026-06-08T11:00:00.230157+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-08T08:00:00.229927"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-08 11:00:00
obs-anomaly-detected-2026-06-08-478b,anomaly_detected,2026-06-08T11:00:00.233263+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-08T08:00:00.233148"", ""anomaly_type"": ""agent_insight-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-08 11:00:00
obs-cli-command-2026-06-09-abee,cli_command,2026-06-09T11:00:12.927685+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-09T08:00:12.925439"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-09 11:00:12
obs-anomaly-detected-2026-06-09-a9e2,anomaly_detected,2026-06-09T11:00:12.932016+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-09T08:00:12.931924"", ""anomaly_type"": ""agent_insight-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-09 11:00:12
obs-cli-command-2026-06-10-5917,cli_command,2026-06-10T11:00:01.114861+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-10T08:00:01.114274"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-10 11:00:01
obs-anomaly-detected-2026-06-10-cd73,anomaly_detected,2026-06-10T11:00:01.117176+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-10T08:00:01.117104"", ""anomaly_type"": ""agent_insight-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-10 11:00:01
obs-cli-command-2026-06-11-0bfe,cli_command,2026-06-11T11:00:19.074555+00:00,"{""type"": ""cli_command"", ""timestamp"": ""2026-06-11T08:00:19.074327"", ""command"": ""analyse_habits"", ""arg_count"": 0}",behavior_observer,2026-06-11 11:00:19
obs-anomaly-detected-2026-06-11-ef57,anomaly_detected,2026-06-11T11:00:19.078497+00:00,"{""type"": ""anomaly_detected"", ""timestamp"": ""2026-06-11T08:00:19.078354"", ""anomaly_type"": ""agent_insight-generator_error"", ""severity"": ""warning""}",behavior_observer,2026-06-11 11:00:19
