id,title,description,project_id,parent_task_id,priority,status,progress_pct,estimated_hours,actual_hours,sort_order,assigned_to,tags,recurrence,category,due_date,completed_at,created_at,updated_at
46adb55d85dc482da546babe626aa61f,🔲 Planejar Próximo Dia,"{""habit_id"": ""h-plan-next-day"", ""type"": ""habit""}",proj-sisyphus,,normal,pending,0,0.3,,0,,,daily,habit,,,2026-05-30 07:29:26,2026-06-01 19:07:34
908759cc015944e8b4d144046e0bba8d,🔲 Candidaturas Diárias,"{""habit_id"": ""h-job-applications"", ""type"": ""habit""}",proj-sisyphus,,high,pending,0,1.0,,0,,,daily,habit,,,2026-05-30 07:29:26,2026-06-01 19:07:34
b13cd5e2bd2843c2a038a7d46f52317f,🔲 Diário Pessoal,"{""habit_id"": ""h-journal"", ""type"": ""habit""}",proj-sisyphus,,normal,pending,0,1.0,,0,,,daily,habit,,,2026-05-30 07:29:26,2026-06-01 19:07:34
f8ead4f4d52645b698b057c5901776f4,🔲 Leitura (30min),"{""habit_id"": ""h-reading"", ""type"": ""habit""}",proj-sisyphus,,normal,pending,0,0.3,,0,,,weekly,habit,,,2026-05-30 07:29:26,2026-06-01 19:07:34
task-everyday-set-up-the-date-with-the-car-evaluat-3863e9,Set up the date with the car evaluation with evangelist !!,,proj-everyday,,high,pending,0,0.2,,0,,,,car,,,2026-06-02 17:01:52,2026-06-02 17:01:52
task-everyday-terminar-as-configuracoes-de-rotina-088a60,Terminar as configurações de rotina no family wall,,proj-everyday,,normal,pending,0,,,0,,,,general,,,2026-06-02 17:31:39,2026-06-02 17:31:39
task-personal-ai-powerhouse-finish-opencode-global-config-23653c,Finish opencode global config,,proj-personal-ai-powerhouse,,normal,pending,0,,,0,,,,general,,,2026-06-02 19:15:00,2026-06-02 19:15:00
task-personal-ai-powerhouse-finish-opencode-global-config-and-pr-b015b8,Finish opencode global config and project config,,proj-personal-ai-powerhouse,,normal,pending,0,,,0,,,,general,,,2026-06-02 19:27:08,2026-06-09 09:09:03
task-job-applications-apply-my-profile-on-the-job-position-9e723e,Apply my profile on the job positions !!,Keep track on the sqlite database jobs.db,proj-job-applications,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:08:02,2026-06-09 09:08:02
task-projects-review-the-future-plans-for-neds-171d39,Review the future plans for NEDS !,Define the future with pinheiro neto and the ORG’s documentation,proj-projects,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:08:02,2026-06-09 09:08:02
task-work-terminar-o-planejamento-da-campanha-e6aae7,Terminar o planejamento da campanha de lançamento do livro da tamara !!,/Users/paulorezende/Library/Mobile\ Documents/com\~apple\~CloudDocs/AI/Agentic\ /AI\ Agents/Opencode/projects/mkt\ book\ tams/Marketing\ team,proj-work,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:08:02,2026-06-09 09:08:02
task-personal-ai-powerhouse-new-reminder-01d0ea,New Reminder,,proj-personal-ai-powerhouse,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:28:18,2026-06-09 09:28:18
task-everyday-do-the-laundry-723c36,Do the laundry,,proj-everyday,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:32:21,2026-06-09 09:32:21
